bfs,country,country_cat
8100,Schweiz,Switzerland
8201,Albanien,
8202,Andorra,
8204,Belgien,OECD
8205,Bulgarien,
8206,Dänemark,OECD
8207,Deutschland,OECD
8208,"Deutsche Demokratische Republik",
8209,Westberlin,
8210,Färöer,
8211,Finnland,OECD
8212,Frankreich,OECD
8213,Gibraltar,
8214,Griechenland,OECD
8215,"Vereinigtes Königreich",OECD
8216,Irland,OECD
8217,Island,OECD
8218,Italien,OECD
8220,Jugoslawien,
8222,Liechtenstein,
8223,Luxemburg,OECD
8224,Malta,
8225,"Insel Man",
8226,Monaco,
8227,Niederlande,OECD
8228,Norwegen,OECD
8229,Österreich,OECD
8230,Polen,OECD
8231,Portugal,OECD
8232,Rumänien,
8233,"San Marino",
8234,Schweden,OECD
8235,"Union der Sozialistischen Sowjetrepubliken",
8236,Spanien,
8238,Tschechoslowakei,OECD
8239,Türkei,OECD
8240,Ungarn,OECD
8241,Vatikanstadt,
8242,Zypern,
8243,Slowakei,OECD
8244,"Tschechische Republik",OECD
8248,Serbien,
8249,"Serbien und Montenegro",
8250,Kroatien,
8251,Slowenien,OECD
8252,"Bosnien und Herzegowina",
8253,Zentralserbien,
8254,Montenegro,
8255,Mazedonien,
8256,Kosovo,
8257,"Provinz Wojwodina",
8260,Estland,OECD
8261,Lettland,
8262,Litauen,
8263,Moldova,
8264,Russland,
8265,Ukraine,
8266,Belarus,
8270,Alderney,
8271,Jersey,
8272,Guernsey,
8273,"Svalbard und Jan Mayen",
8274,Alandinseln,
8275,Sark,
8280,Triest,
8301,Äquatorialguinea,
8302,Äthiopien,
8303,Dschibuti,
8304,Algerien,
8305,Angola,
8306,Biafra,
8307,Botsuana,
8308,Burundi,
8309,Benin,
8310,"Côte d'Ivoire",
8311,Gabun,
8312,Gambia,
8313,Ghana,
8314,Guinea-Bissau,
8315,Guinea,
8317,Kamerun,
8318,"Kanarische Inseln",
8319,"Kap Verde",
8320,Kenia,
8321,Komoren,
8322,"Kongo (Brazzaville)",
8323,"Kongo (Kinshasa)",
8324,Lesotho,
8325,Liberia,
8326,Libyen,
8327,Madagaskar,
8328,Madeira,
8329,Malawi,
8330,Mali,
8331,Marokko,
8332,Mauretanien,
8333,Mauritius,
8334,Mosambik,
8335,Niger,
8336,Nigeria,
8337,"Burkina Faso",
